Date,Conference,Venue,Country_or_City,Title,Authors,Format,Notes
20130324,"Japan Society for Bioscience, Biotechnology, and Agrochemistry Annual Meeting",Tohoku University,Sendai,Wavelength Dependence of Euglena Photomotility,"Hideshi Ooka, Takumi Ishii, Ryuhei Nakamura, Kazuhito Hashimoto",Oral,
20131021,The 3rd CSJ Chemistry Festa,Tower Hall Funabori,Tokyo,Study on Euglena Photomotility towards Microbial Biofuel Production,"Hideshi Ooka, Takumi Ishii, Ryuhei Nakamura, Kazuhito Hashimoto",Poster,
20140329,Electrochemical Society of Japan 81st Annual Meeting,Kansai University,Suita,Element Strategy of Water Splitting: Difference between Mn and Ir,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Oral,
20141124,International Conference on Artificial Photosynthesis (ICARP2014),Awajishima,Japan,Charge Accumulation During Oxygen Evolution Catalysis on Iridium Oxide and Manganese Oxide,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Poster,
20141216,3rd Meeting of Solid and Surface Photochemistry,Kyoto University,Kyoto,Detection of Oxygen Evolution Intermedates of Iridium Oxide Using Optical Waveguide Spectroscopy,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Oral,
20141212,"21st Symposium ""Advances in Photocatalysis""",University of Tokyo,Tokyo,Evaluation of the Charge Accumulation Process During the Oxygen Evolution Reaction on Iridium Oxide,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Poster,
20150315,Electrochemical Society of Japan 82nd Annual Meeting,Yokohama National University,Yokohama,Detection of Oxygen Evolution Intermediates Using In situ Optical Waveguide Spectroscopy,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Oral,
20150921,3rd International Workshop on Microbial Life under Extreme Energy Limitation,Sandbjerg Manor,Denmark,The Asymmetry of Multi-Electron Transfer Processes at the Enzyme Gene Structure Level,"Hideshi Ooka, Kazuhito Hashimoto, Ryuhei Nakamura",Poster,
20151126,RIKEN CSRS Interim Report,RIKEN,Japan,Bioenergetic Restrictions on the Gene Structures of Photosynthetic and Respiratory　Enzymes,Hideshi Ooka,Oral,
20160821,67th Annual Meeting of the International Electrochemical Society,Den Haag,The Netherlands,Competition of Carbon Dioxide Reduction and Hydrogen Evolution on Copper Electrodes,"Hideshi Ooka, Marc Koper",Poster,
