Date,Conference,Venue,Country_or_City,Title,Authors,Format,Notes
20130324,2013年度農芸化学会,東北大学,仙台,ミドリムシ走光性における波長依存性,大岡英史、石居拓己、中村龍平、橋本和仁,Oral,
20131021,第3回 CSJ化学フェスタ,タワーホール船堀,東京,微生物オイル生産に向けたミドリムシの光運動性制御,大岡英史、石居拓己、中村龍平、橋本和仁,Poster,
20140329,電気化学会第81回大会,関西大学,吹田,水分解電極触媒における元素戦略: MnとIrの相違,大岡英史、山口晃、橋本和仁、中村龍平,Oral,
20141124,International Conference on Artificial Photosynthesis (ICARP2014),Awajishima,Japan,Charge Accumulation During Oxygen Evolution Catalysis on Iridium Oxide and Manganese Oxide,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Poster,
20141216,第33回固体・表面光化学討論会,京都大学,京都,光導波路分光法を用いたIrOx電極触媒における酸素発生反応中間体の検出,大岡英史、山口晃、橋本和仁、中村龍平,Oral,
20141212,第21回シンポジウム「光触媒反応の最近の展開」,University of Tokyo,Tokyo,酸素発生中におけるイリジウム酸化物の電化貯蔵プロセスの評価,大岡英史、山口晃、橋本和仁、中村龍平,Poster,
20150315,電気化学会第82回大会,横浜国立大学,横浜,In situ光導波路分光法を用いた多電子水酸化反応中間体の検出,大岡英史、山口晃、橋本和仁、中村龍平,Oral,
20150921,3rd International Workshop on Microbial Life under Extreme Energy Limitation,Sandbjerg Manor,Denmark,The Asymmetry of Multi-Electron Transfer Processes at the Enzyme Gene Structure Level,"Hideshi Ooka, Kazuhito Hashimoto, Ryuhei Nakamura",Poster,
20151126,RIKEN CSRS Interim Report,RIKEN,Japan,Bioenergetic Restrictions on the Gene Structures of Photosynthetic and Respiratory　Enzymes,Hideshi Ooka,Oral,
20160821,67th Annual Meeting of the International Electrochemical Society,Den Haag,The Netherlands,Competition of Carbon Dioxide Reduction and Hydrogen Evolution on Copper Electrodes,"Hideshi Ooka, Marc Koper",Poster,
20160807,CINF Summer School 2016,Gilleleje,Denmark,Competition of Carbon Dioxide Reduction and Hydrogen Evolution on Copper Electrodes,"Hideshi Ooka, Marc Koper",Poster,
20161102,RIKEN CSRS Interim Report,RIKEN,Japan,Differentiating Between Thermodynamic and Kinetic Rate Determining Processes for Multi-Electron Transfer Catalysis Beyond Computational Simulations,"Hideshi Ooka, Marc Koper, Ryuhei Nakamura",Poster,
20170112,The 3rd CSRS-ITbM Joint Workshop,Nagoya University,Nagoya,Probing the Optimization Criteria of Biological Catalysts based on In-Silico Genetic Analysis of Phylogenetically Diverse Enzymes,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20170223,The 2nd Solar Fuel Material Workshop,Seoul National University,Korea,Asymmetry of Oxygen Evolution and Oxygen Reduction Catalysts Revealed by a Bioinformatic Analysis of Enzymatic Genes,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20170910,電気化学会秋季大会,長崎大学,長崎,"多電子移動触媒の元素戦略：Mn,Fe,Ir酸素発生触媒のオペランド分光法に基づく3d金属触媒と5d貴金属触媒の相違",大岡英史、橋本和仁、中村龍平,Oral,
20171101,RIKEN CSRS Interim Report,RIKEN,Japan,Bioinformatics Approach for Understanding Biological Electron Transfer,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20180228,エンジニアリング・ネットワークリトリート2018,日本橋ライフサイエンスハブ,東京,Informatics Approach for Understanding Multi-Electron Transfer Regulation,大岡英史、中村龍平,Poster,
20180312,The 3rd Solar Fuel Material Forum,Osaka University,Japan,From the d-band Model to Beyond: Development Strategies for Kinetically-Favorable Multi-Electron Transfer Catalysts,"Hideshi Ooka, Ryuhei Nakamura",Oral,
