,type,notes,status,url,preprint,bib_key,j_key,title,pages,volume,year,fullname,abbrv,journal,author,ENTRYTYPE,ID
0,Original,,,https://pubs.acs.org/doi/full/10.1021/acs.jpcc.5c08088,,Minamimoto2026JPCC,JPCC,Mechanistic Elucidation of the Hydrogen Evolution Reaction on Ni-Mo Alloys via Surface and Data-Driven Kinetic Analyses,1827-1834,130,2026,The Journal of Physical Chemistry C,J. Phys. Chem. Lett.,JPCC,"Minamimoto*, Hiro and Ooka*, Hideshi and Ohta, Daichi and Utsumi, Shunsuke and Homma, Mizuho and Murakoshi, Kei and Mizuhata, Minoru",article,Minamimoto2026JPCC
1,Original,,,https://doi.org/10.1021/acscatal.5c05079,,Yatsuzuka2026ACSCat,ACSCat,Influence of Electrolyte Cations on the Oxygen Evolution Reaction of Nanochanneled Manganese Oxide,1978-1985,16,2026,ACS Catalysis,ACS Catal.,ACS Catal.,"Yatsuzuka, Koichi and Kong, Shuang and Adachi, Kiyohiro and Li, Ailong and Hashizume, Daisuke and Nakamura*, Ryuhei and Ooka*, Hideshi",article,Yatsuzuka2026ACSCat
2,Review,,,https://doi.org/10.1093/bbb/zbaf181,,Chiba2025BBB,BBB,How to enhance enzymatic reaction rates? The Sabatier principle and beyond,300-305,90,2025,"Bioscience, Biotechnology, and Biochemistry",Biosci. Biotechnol. Biochem.,Biosci. Biotechnol. Biochem.,"Chiba*, Yoko and Ooka, Hideshi",article,Chiba2025BBB
3,Original,,,https://www.nature.com/articles/s41557-025-02014-4,https://chemrxiv.org/engage/chemrxiv/article-details/6747c6bbf9980725cf4144b4,Lim2025NChem,NChem,Hydration Entropy of Cations Regulates Chloride Ion Diffusion During Electrochemical Chlorine Evolution,552-560,18,2025,Nature Chemistry,Nat. Chem.,Nat. Chem.,"Lim*, Taejung and Ooka, Hideshi and Yu, Yuhang and Murakami, Takeharu and Wada, Satoshi and Nakamura*, Ryuhei",article,Lim2025NChem
4,Original,,,https://www.nature.com/articles/s41893-025-01665-y,,Li2025NSus,NSus,Oxygen Evolution Electrocatalysis Resilient to Voltage Fluctuations,1533-1540,8,2025,Nature Sustainability,Nat. Sustain.,Nat. Sustain.,"Li*, Ailong and Ooka, Hideshi and Kong, Shuang and Adachi, Kiyohiro and Zhang, Yuchen and Fushimi, Kazuna and Hamamoto, Satoru and Oura, Masaki and Kim, Sun Hee and Hashizume, Daisuke and Nakamura*, Ryuhei",article,Li2025NSus
5,Original,,,https://chemistry-europe.onlinelibrary.wiley.com/doi/epdf/10.1002/cssc.202402625,,Ooka2025ChemSusChem,ChemSusChem,Thermoneutrality Is Not Necessary to Maximize Oxygen Evolution Reaction Rates,e202402625,18,2025,ChemSusChem,ChemSusChem,ChemSusChem,"Ooka*, Hideshi and Suda, Tomoharu and Yatsuzuka, Koichi and Nakamura, Ryuhei",article,Ooka2025ChemSusChem
6,Original,,,https://enviromicro-journals.onlinelibrary.wiley.com/doi/full/10.1111/1462-2920.70055,https://www.biorxiv.org/content/10.1101/2024.05.21.595099v1.abstract,Seto2025EnvironMicrobiol,EnvironMicrobiol,Thermodynamics Underpinning the Microbial Community-Level Nitrogen Energy Metabolism,e70055,27,2025,Environ. Microbiol.,Environ. Microbiol.,Environ. Microbiol.,"Seto*, Mayumi and Sasaki, Risa and Ooka, Hideshi and Nakamura, Ryuhei",article,Seto2025EnvironMicrobiol
7,Original,,,https://www.science.org/doi/10.1126/science.adg5193,,Li2024Science,Science,Atomically Dispersed Hexavalent Iridium Oxide From MnO$_2$ Reduction for Oxygen Evolution Catalysis,666-670,384,2024,Science,Science,Science,"Li*, Ailong and Kong, Shuang and Adachi, Kiyohiro and Ooka, Hideshi and Fushimi, Kazuna and Jiang, Qike and Ofuchi, Hironori and Hamamoto, Satoru and Oura, Masaki and Higashi, Kotaro and Kaneko, Takuma and Uruga, Tomoya and Kawamura, Naomi and Hashizume, Daisuke and Nakamura*, Ryuhei",article,Li2024Science
8,Original,,,https://doi.org/10.1021/acs.jpclett.4c02162,https://chemrxiv.org/engage/chemrxiv/article-details/64758d1abe16ad5c572640fb,Ooka2024JPCL,JPCL,Microkinetic Model to Rationalize the Lifetime of Electrocatalysis: Tradeoff Between Activity and Stability,10079--10085,15,2024,J. Phys. Chem. Lett.,J. Phys. Chem. Lett.,J. Phys. Chem. Lett.,"Ooka*, Hideshi and Wintzer, Marie E. and Komatsu, Hirokazu and Suda, Tomoharu and Adachi, Kiyohiro and Li, Ailong and Kong, Shuang and Hashizume, Daisuke and Mochizuki, Atsushi and Nakamura*, Ryuhei",article,Ooka2024JPCL
10,Original,,,https://www.nature.com/articles/s41929-023-01091-3,,Kong2024NCat,NCat,Acid-Stable Manganese Oxides for Proton Exchange Membrane Water Electrolysis,252--261,7,2024,Nat. Catal.,Nat. Catal.,Nat. Catal.,"Kong, Shuang and Li*, Ailong and Long, Jun and Adachi, Kiyohiro and Hashizume, Daisuke and Jiang, Qike and Fushimi, Kazuna and Ooka, Hideshi and Xiao*, Jianping and Nakamura*, Ryuhei",article,Kong2024NCat
