JOURNAL,ABBRV,KEY
ACS Catalysis,ACS Catal.,ACSCat
ACS Central Science,ACS Cent. Sci.,
ACS Combinatorial Science,ACS Comb. Sci.,
ACS Energy Letters,ACS Energy Lett.,
ACS Nano,ACS Nano,
ACS Omega,ACS Omega,
ACS Sustainable Chemistry & Engineering,ACS Sustainable Chem. Eng.,
Accounts of Chemical Research,Acc. Chem. Res.,
Advanced Energy Materials,Adv. Energ. Mater.,AEM
Advanced Functional Materials,Adv. Funct. Mater.,AFM
Advanced Science,Adv. Sci.,
Advanced Theory and Simulations,Adv. Theory Simul.,
Analytical Biochemistry,Anal. Biochem.,
Analytical Chemistry,Anal. Chem.,
Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,Angew
Annual Review of Nutrition,Annu. Rev. Nutr.,
BMC Systems Biology,BMC Syst. Biol.,
Biochemical Journal,Biochem. J.,
Biochemical Pharmacology,Biochem. Pharmacol.,
Biochemistry,Biochem.,
Bioresource Technology,Biores. Technol.,
Bulletin des Societes Chimiques Belges,Bull. Soc. Chim. Belg.,BSCG
Bulletin of Mathematical Biology,Bull. Math. Biol.,
Catalysis Science \& Technology,Catal. Sci. Technol.,
Catalysis Today,Catal. Tod.,CatTod
Catalysts,Catalysts,
ChemCatChem,ChemCatChem,
ChemElectroChem,ChemElectroChem,
ChemRxiv,ChemRxiv,
ChemSusChem,ChemSusChem,
Chemical Communications,Chem. Commun.,ChemCom
Chemical Engineering Journal,Chem. Engin. J.,
Chemical Engineering Science,Chem. Engin. Sci.,
Chemical Physics,Chem. Phys.,
Chemical Reviews,Chem. Rev.,
Chemical Science,Chem. Sci.,
Chemical Society Reviews,Chem. Soc. Rev.,
Chemistry A European Journal,Chem. Eur. J.,
Chemistry Letters,Chem. Lett.,ChemLett
Chemistry of Materials,Chem. Mater.,
Current Opinion in Electrochemistry,Curr. Opin. Electrochem.,
Electroanalysis,Electroanalysis,
Electrochemistry Communications,Electrochem. Commun.,ElectrochemCom
Electrochimica Acta,Electrochim. Acta,EActa
Energy \& Environmental Science,Energ. Environ. Sci.,EES
Entropy,Entropy,
Environmental Science \& Technology,Environ. Sci. Technol.,EST
Environmental Science \& Technology Letters,Environ. Sci. Technol. Lett.,ESTL
Enzyme and Microbial Technology,Enzyme Microb. Technol.,
